,trade_date,close,high,low,state,key_price,append,stop,profit,wave
0,20090701,10.13,10.15,9.61,0,9.61,10.15,7.99,9.61,0.54
1,20090702,10.31,10.42,10.06,0,9.61,10.15,7.99,9.61,0.54
2,20090703,10.29,10.38,10.17,0,9.61,10.11,8.12,9.61,0.50
3,20090706,10.23,10.42,10.16,0,9.61,10.02,8.37,9.61,0.41
4,20090707,9.74,10.31,9.71,0,9.61,10.04,8.33,9.61,0.43
5,20090708,9.66,9.76,9.38,0,9.61,10.05,8.30,9.61,0.44
6,20090709,9.74,9.86,9.49,0,9.61,10.02,8.37,9.38,0.41
7,20090710,9.67,9.81,9.63,0,9.61,10.07,8.23,9.38,0.46
8,20090713,9.38,9.65,9.38,0,9.61,10.04,8.32,9.38,0.43
9,20090714,9.75,9.82,9.45,0,9.61,10.01,8.42,9.38,0.40
10,20090715,9.74,9.99,9.64,0,9.61,10.01,8.42,9.38,0.40
11,20090716,10.26,10.36,9.77,0,9.61,9.99,8.46,9.38,0.38
12,20090717,10.11,10.31,10.07,0,9.61,10.00,8.45,9.38,0.39
13,20090720,10.16,10.26,9.96,0,9.61,10.06,8.27,9.38,0.45
14,20090721,10.08,10.41,10.07,0,9.61,10.05,8.29,9.38,0.44
15,20090722,10.13,10.26,9.92,0,9.61,10.02,8.38,9.38,0.41
16,20090723,10.26,10.41,9.95,0,9.61,10.01,8.40,9.38,0.40
17,20090724,10.16,10.39,10.08,0,9.61,10.00,8.45,9.38,0.39
18,20090727,10.56,10.65,10.16,0,9.61,9.99,8.47,9.38,0.38
19,20090728,10.51,10.66,10.42,0,9.61,10.02,8.39,9.38,0.41
20,20090729,10.38,11.03,9.79,0,9.61,10.01,8.42,9.38,0.40
21,20090730,11.03,11.15,10.47,0,9.61,10.03,8.36,9.38,0.42
22,20090731,11.19,11.32,10.89,0,9.61,10.04,8.32,9.38,0.43
23,20090803,11.14,11.29,11.01,0,9.61,10.04,8.33,9.38,0.43
24,20090804,10.8,11.28,10.76,0,9.61,10.02,8.37,9.38,0.41
25,20090805,10.39,10.8,10.31,0,9.61,10.09,8.18,9.38,0.48
26,20090806,10.19,10.5,10.03,0,9.61,10.09,8.18,9.38,0.48
27,20090807,10.2,10.37,10.13,0,9.61,10.07,8.24,9.38,0.46
28,20090810,10.01,10.39,9.99,0,9.61,10.03,8.36,9.38,0.42
29,20090811,9.91,10.12,9.86,0,9.61,10.04,8.33,9.38,0.43
30,20090812,9.43,9.92,9.38,0,9.61,10.03,8.34,9.38,0.42
31,20090813,9.69,9.82,9.34,0,9.61,10.02,8.37,9.38,0.41
32,20090814,9.61,9.9,9.54,0,9.61,10.05,8.29,9.34,0.44
33,20090817,9.3,9.85,9.13,0,9.61,10.04,8.32,9.34,0.43
34,20090818,9.41,9.56,9.04,0,9.61,10.03,8.35,9.13,0.42
35,20090819,8.9,9.68,8.86,0,9.61,10.03,8.34,9.04,0.42
36,20090820,9.46,9.66,8.94,0,9.61,10.04,8.33,8.86,0.43
37,20090821,9.71,10.05,9.33,0,9.61,10.04,8.32,8.86,0.43
38,20090824,9.55,9.85,9.43,0,9.61,10.08,8.20,8.86,0.47
39,20090825,8.87,9.51,8.59,0,9.61,10.08,8.20,8.86,0.47
40,20090826,8.81,9.04,8.48,0,9.61,10.08,8.21,8.59,0.47
41,20090827,8.57,8.88,8.52,0,9.61,10.08,8.21,8.48,0.47
42,20090828,8.07,8.67,7.84,0,9.61,10.07,8.24,8.48,0.46
43,20090831,7.26,7.92,7.26,0,9.61,10.07,8.22,7.84,0.46
44,20090901,7.54,7.78,7.25,0,9.61,10.09,8.17,7.26,0.48
45,20090902,8.14,8.15,7.32,0,9.61,10.09,8.17,7.25,0.48
46,20090903,8.49,8.59,8.05,0,9.61,10.09,8.16,7.25,0.48
47,20090904,8.57,8.76,8.38,0,9.61,10.10,8.15,7.25,0.49
48,20090907,8.67,8.96,8.59,0,9.61,10.09,8.16,7.25,0.48
49,20090908,8.8,8.83,8.49,0,9.61,10.09,8.17,7.25,0.48
50,20090909,8.87,9.06,8.8,0,9.61,10.12,8.09,7.25,0.51
